$MOCA Stakers Top List
Generated on: 2025-07-14 23:29:52
Contract Address: 0x9a98E6B60784634AE273F2FB84519C7F1885AeD2
Token Name: $MOCA
Total Staked: 295,922,713.01 $MOCA
Contract Paused: False
Total Stakers: 2616

Rank | Wallet Address | Staked Balance ($MOCA)
------------------------------------------------------------
1 | 0x95b61bEB8BB3f8B473C420f3355762808f09D828 | 15,822,114.89 $MOCA
2 | 0x3Bba0D6232380fc29DB71a75b56f4994f9131B10 | 14,485,821.72 $MOCA
3 | 0x9F074913c4Bdf3A51F18d820626d3C897Fb55CcF | 14,000,000.00 $MOCA
4 | 0x46D49B99071519580A71961869ACE32De0c0fe5f | 14,000,000.00 $MOCA
5 | 0xc19b8424ccf44A22013ED9AbE6cbDAe84c658C23 | 6,566,803.23 $MOCA
6 | 0x24D074530bB9526a67369b67FCf1Fa6cf6ef6845 | 6,297,243.87 $MOCA
7 | 0x5ED0F666E6C20F5EEb2214514B56DF2adC47A0b2 | 5,888,888.89 $MOCA
8 | 0x83D498dE2ef7De7076768c0f5a660e9433f45B22 | 5,296,742.09 $MOCA
9 | 0x4dB07128b8bb18D39A8D55B3071d1fc442FE42d1 | 5,243,169.52 $MOCA
10 | 0x74582579cebFfc7ae88C45f192003db51c1692CB | 5,231,146.08 $MOCA
11 | 0xe68FDcFB6BF14010A9Bf59D4B05BfE0150f15900 | 5,145,104.02 $MOCA
12 | 0x2E1160819E566360D4A0d2AC9adb1D82c06f4BC4 | 4,931,773.03 $MOCA
13 | 0x5dA3D460742fBCE2B8644b89784C1Df5548CE4ac | 4,641,433.85 $MOCA
14 | 0x05d93eC016c4aE7a653fE79E6DA7746073AFB94f | 3,609,540.65 $MOCA
15 | 0x6C8Ee01F1f8B62E987b3D18F6F28b22a0Ada755f | 2,698,408.00 $MOCA
16 | 0x98806eDD3264838597190E0ecc6C2bCd2b828AEB | 2,548,567.26 $MOCA
17 | 0x211CEa4e6E15457F2E92C611714E7b11B0738055 | 2,511,914.88 $MOCA
18 | 0xD86b11C0725042C977ef837430442ce2D607FA7f | 2,500,000.00 $MOCA
19 | 0xdEDDD50e7e604Eb8C83444Ae125a9625F75d8a4b | 2,429,458.03 $MOCA
20 | 0x54BE3a794282C030b15E43aE2bB182E14c409C5e | 2,387,510.32 $MOCA
21 | 0x7a93b5f60B67232b65684B489A17A96949169A09 | 2,111,000.00 $MOCA
22 | 0x5186fC0017a983C51b3845f0Ed7800A4C23Ad0B0 | 2,033,311.05 $MOCA
23 | 0x5B34D7917840fAC7E91973ABdD5647AE5EeCCbAA | 1,763,434.30 $MOCA
